,slice_index,sam_dice,sam_precision,sam_recall,sam_HD100,sam_AVG_dist,medsam_dice,medsam_precision,medsam_recall,medsam_HD100,medsam_AVG_dist
BraTS2021_00000,88,0.007692307692307693,0.006033182503770739,0.010610079575596816,22.561028345356956,10.66098642940792,0.7435549525101763,0.8265460030165912,0.6757090012330457,11.0,2.408656457750757
BraTS2021_00002,104,0.9179914206409285,0.9675531914893617,0.8732597215554488,18.681541692269406,1.561048875976117,0.9453393187219435,0.9521276595744681,0.9386470896696382,5.0990195135927845,0.5726014285743244
BraTS2021_00003,124,0.6717244207504613,0.9909255898366606,0.5080645161290323,20.591260281974,3.1819799899096712,0.8081805359661495,0.6932849364791288,0.9687235841081995,13.45362404707371,1.4284017602056172
BraTS2021_00005,114,0.8475139791446274,0.9950319375443577,0.7380889707817847,19.235384061671343,2.780401419246163,0.8857877341167829,0.8559261887863733,0.9178082191780822,11.704699910719626,1.1053595797961058
BraTS2021_00006,73,0.9192430703624733,0.9751201583262652,0.8694227375850769,20.8806130178211,1.8745604709836197,0.937195296816748,0.9239468476109698,0.9508292115216759,6.324555320336759,0.7207450439166035
BraTS2021_00008,79,0.6021798365122616,0.973568281938326,0.4358974358974359,19.1049731745428,3.2753441080320944,0.6782334384858044,0.947136563876652,0.5282555282555282,8.06225774829855,1.7823653392907495
BraTS2021_00009,74,0.6851211072664359,0.726161369193154,0.648471615720524,12.206555615733702,2.010972742073914,0.6443768996960486,0.5183374083129584,0.8514056224899599,12.041594578792296,2.400857721559691
BraTS2021_00011,72,0.7717059639389736,0.9679888656924147,0.6416051660516605,25.079872407968907,3.442865514650894,0.8294679399727148,0.8462073764787752,0.8133779264214047,10.04987562112089,1.0914168833531521
BraTS2021_00012,107,0.756612847818619,0.9588593818023509,0.624822695035461,33.54101966249684,5.408989284397456,0.8365886206478224,0.7505441880713974,0.9449164154562893,15.524174696260024,1.7182200882813847
BraTS2021_00014,20,0.5675675675675675,1.0,0.39622641509433965,14.7648230602334,3.4997747346194115,0.5941686367218282,0.9973544973544973,0.42312008978675647,13.601470508735444,3.1680516126513116
BraTS2021_00016,78,0.7463965718737826,0.9845837615621789,0.6010037641154329,22.135943621178654,4.0032041537375465,0.7130083645803288,0.6351490236382322,0.8126232741617357,21.93171219946131,4.077805024767318
BraTS2021_00017,95,0.7526041666666666,0.7789757412398922,0.7279596977329975,21.18962010041709,3.6772426397410882,0.8158730158730159,0.692722371967655,0.9922779922779923,8.246211251235321,1.5150417423124953
BraTS2021_00018,125,0.4026812313803376,1.0,0.2520982281628847,26.68332812825267,5.8994363496878375,0.5560507370586218,1.0,0.38509021842355173,16.55294535724685,3.330824730186357
BraTS2021_00019,81,0.734375,0.9987313669521091,0.5806749031901162,17.0,4.279005358093553,0.7863768115942029,0.8604503647320013,0.7240459033893781,15.0,2.977369525965593
BraTS2021_00020,87,0.5163438256658596,0.9383938393839384,0.35615866388308975,35.22782990761707,5.993619938437608,0.6799840191769876,0.9361936193619362,0.5338770388958595,18.384776310850235,1.9411050043604705
BraTS2021_00021,50,0.5806255693896143,0.8077735530207013,0.4531879592320455,31.0,4.284069368165474,0.6789637305699482,0.6920152091254753,0.6663954434499593,15.0,2.271369520589353
BraTS2021_00022,120,0.784506609283738,0.9293517844136926,0.6787234042553192,7.810249675906654,1.5957161979838774,0.7428791377983064,0.7028404952658412,0.7877551020408163,15.132745950421556,2.3668190509877287
BraTS2021_00024,55,0.7407624633431085,0.9913657770800628,0.5912921348314607,19.79898987322333,4.1061806287686435,0.8977027292362065,0.8971742543171115,0.8982318271119842,6.708203932499369,1.1418605115711555
BraTS2021_00025,77,0.5617501764290755,1.0,0.39057899901864573,22.20360331117452,4.042966446095332,0.6334596643205198,0.7349246231155779,0.5566127497621313,13.152946437965905,2.2899268178348677
BraTS2021_00026,86,0.5291445874337622,0.7779632721202003,0.4009176942930886,27.202941017470888,3.474576809861014,0.5783664459161147,0.8747913188647746,0.4319868095630668,24.758836806279895,5.325333948107598
BraTS2021_00028,79,0.5422932330827067,1.0,0.3720180528691167,16.55294535724685,3.976563509993762,0.5833333333333334,0.5823223570190641,0.5843478260869566,9.433981132056603,2.0265083879233305
